uid,population,distance,radiusPopulation
M20447,15417,1901.3967684360364,311754117
M20448,1633,1890.4027215211788,311191499
M20449,3449,1870.7728929622388,306270675
M20450,9537,1896.872078320715,311553885
M20451,1365,1778.5093518233152,282150440
M20452,4636,1855.250291312613,304362812
M20453,2577,1915.2515560403992,312817643
M20454,2754,1801.3630271914608,292562630
M20455,2404,1778.1758393571388,282077244
M20456,1341,1792.0825102037734,288107646
M20457,3058,1771.0931364815347,278997196
M20458,1544,1768.7880601402749,276189134
M20459,4314,1741.0116679570394,269273892
M20460,4837,1772.8744544173476,279230182
M20461,725,1832.5771070058174,300417850
M20462,3988,1780.598689543921,284866580
M20463,933,1797.4068997976278,289173441
M20464,601,1767.4332773900678,276086295
M20465,1200,1811.2739268035552,296739228
M20466,10675,1910.282599354491,312402836
M20467,17922,1946.0683346789235,318360831
M20468,12682,1754.7156460001277,273675022
M20469,28118,1842.407853279274,303063487
M20470,6336,1836.0582815316388,300845135
M20471,520,1775.7471965491582,280969334
M20472,2788,1839.6300668304439,301510667
M20473,1432,1799.0546079410308,291914159
M20474,3291,1940.755626623028,317497203
M20475,1988,1838.9101818103106,301469785
M20476,397,1762.6837663658478,274914565
M20477,1674,1911.3607685111192,312561874
M20478,2422,1786.837811894561,285686206
M20479,266,1810.6847674013773,296704669
M20480,1028,1830.4893987297398,300108532
M20481,2876,1866.995674284611,305485644
M20482,44193,1947.6226470435938,318581516
M20483,7937,1812.1017867441485,296995869
M20484,4469,1815.2830066583595,297240500
M20485,3234,1962.1322691595867,320201098
M20486,2306,1788.5252881829674,287470090
M20487,1721,1808.5250081644347,295628099
M20488,140,1773.539291414048,279235128
M20489,4997,1939.2930227368408,317468386
M20490,2712,1713.9805411683697,262535297
M20491,3315,1883.8598448980392,310292307
M20492,3888,1823.9042432034003,298842947
M20493,506,1804.6475589100817,295070875
M20494,7433,1839.9188206330268,301593136
M20495,3267,1926.6506358588417,315858420
M20496,1762,1794.4394171725091,288321883
M20497,3130,1933.6910162089096,317291495
M20498,6599,1769.946945597494,276297449
M20499,1725,1811.9559110348623,296798117
M20500,7544,1875.2944894822294,306757870
M20501,1173,1820.8812072649719,297865346
M20502,4963,1794.4248395756938,288316920
M20503,465,1796.7669690506002,289024975
M20504,1757,1800.3515437542067,292439622
M20505,7295,1830.256184839575,299801350
M20506,755,1812.0664542822408,296991239
M20507,3347,1960.3815671039233,320023983
M20508,1488,1838.2232428051736,301347678
M20509,8725,1957.3794054981201,319736367
M20510,878,1869.5362317791548,306258686
M20511,3430,1823.2899835413969,298344967
M20512,1125,1913.7760027538577,312759236
M20513,7379,1812.8031217659375,297011353
M20514,950,1780.6021232741423,284870568
M20515,53229,1868.696437554576,306005709
M20516,4334,1893.6432903551758,311425509
M20517,4004,1820.48220177573,297837681
M20518,160,1811.065145481255,296727326
M20519,2834,1824.8456321233393,298978019
M20520,7308,1805.0080762907517,295142928
M20521,327,1790.0872766351035,287966913
M20522,1041,1804.6442309951406,295069834
M20523,1565,1798.4439930639105,290214180
M20524,510,1800.8626592909432,292481941
M20525,10457,1834.5096785690698,300532166
M20526,14058,1942.4375886054142,318007729
M20527,2569,1752.9604281473055,272169847
M20528,1464,1828.858181053651,299752938
M20529,1456,1796.0260507309463,288487518
M20530,3095,1849.3550685659209,303461302
M20531,1939,1820.5013211326568,297841685
M20532,4139,1853.1541712294018,304121989
M20533,1683,1908.2071976027937,312351544
M20534,4173,1903.4713499344587,311855940
M20535,3390,1874.8743490667644,306754480
M20536,519,1809.2615263971873,295653400
M20537,7786,1829.6373369700461,299783500
M20538,635,1898.1883713810191,311572516
M20539,3902,1819.2453143216705,297723864
