uid,usModel,usData,mexicoModel,mexicoData,canadaModel,canadaData
U13253,1632,1642,0,0,0,0
U13255,11152,11210,1,0,0,0
U13257,2738,2750,0,0,0,0
U13259,921,927,0,0,0,0
U13261,2298,2311,0,0,0,0
U13263,1875,1882,0,0,0,0
U13265,523,526,0,0,0,0
U13267,3156,3176,0,0,0,0
U13269,1427,1435,0,0,0,0
U13271,1372,1382,0,0,0,0
U13273,1858,1871,0,0,0,0
U13275,2448,2466,0,0,0,0
U13277,2601,2621,0,0,0,0
U13279,2723,2742,0,0,0,0
U13281,1532,1539,0,0,0,0
U13283,1195,1202,0,0,0,0
U13285,4231,4265,0,0,0,0
U13287,1458,1472,0,0,0,0
U13289,3057,3067,0,0,0,0
U13291,2189,2199,0,0,0,0
U13293,3005,3023,0,0,0,0
U13295,15895,15966,1,0,1,0
U13297,17737,17802,1,0,1,5
U13299,2520,2538,0,0,0,0
U13301,1297,1303,0,0,0,0
U13303,1600,1611,0,0,0,0
U13305,2519,2540,0,0,0,0
U13307,626,628,0,0,0,0
U13309,1217,1221,0,0,0,0
U13311,4495,4512,0,0,0,0
U13313,5065,5106,1,0,0,0
U13315,1496,1508,0,0,0,0
U13317,988,993,0,0,0,0
U13319,2120,2127,0,0,0,0
U13321,5652,5674,0,0,0,0
U16001,10500,10572,10,0,27,0
U16003,345,347,0,0,0,0
U16005,4519,4544,1,0,2,5
U16007,617,620,0,0,0,0
U16009,546,552,0,0,1,0
U16011,5728,5756,1,0,3,0
U16013,383,390,0,0,0,0
U16015,1763,1772,0,0,0,0
U16017,2539,2602,0,0,51,0
U16019,3773,3802,1,0,5,0
U16021,509,517,0,0,8,3
U16023,235,238,0,0,0,0
U16025,198,197,0,0,0,3
U16027,20132,20199,8,0,27,0
U16029,320,322,0,0,0,0
U16031,2333,2348,0,0,0,0
U16033,92,93,0,0,0,0
U16035,478,483,0,0,0,0
U16037,307,310,0,0,0,0
U16039,2056,2073,0,0,1,0
U16041,1979,1986,0,0,0,0
U16043,2372,2382,0,0,1,0
U16045,2756,2768,0,0,1,0
U16047,1814,1825,0,0,0,0
U16049,911,918,0,0,1,0
U16051,4313,4334,0,0,2,0
U16053,3351,3369,0,0,0,0
U16055,10300,10585,3,0,253,4
U16057,3564,3588,0,0,12,0
U16059,95,98,0,0,0,0
U16061,560,563,0,0,0,0
U16063,819,822,0,0,0,0
U16065,2104,2098,0,0,1,21
U16067,2985,3003,0,0,0,0
U16069,2437,2452,0,0,5,0
U16071,608,608,0,0,0,4
U16073,2189,2199,0,0,0,0
U16075,4264,4266,0,0,1,10
U16077,974,979,0,0,0,0
U16079,966,968,0,0,3,8
U16081,1185,1191,0,0,0,0
U16083,3230,3247,1,0,1,6
U16085,397,402,0,0,0,0
U16087,1122,1133,0,0,0,0
U17001,2417,2438,0,0,0,0
U17003,1621,1632,0,0,0,0
U17005,3466,3484,0,0,0,0
U17007,12246,12282,0,0,1,0
U17009,765,768,0,0,0,0
U17011,6481,6492,0,6,0,0
U17013,1190,1193,0,0,0,0
U17015,2838,2842,0,0,0,0
U17017,2312,2320,0,0,0,0
U17019,4888,4920,1,0,1,8
U17021,6306,6332,0,0,0,0
U17023,3165,3179,0,0,0,0
U17025,1586,1593,0,0,0,0
U17027,8469,8514,0,0,0,0
U17029,3837,3862,0,0,0,0
U17031,286299,292182,1603,173,4440,53
U17033,1421,1430,0,0,0,0
U17035,3535,3543,0,0,0,0
U17037,15928,15981,1,0,3,0
U17039,3708,3723,0,0,0,0
U17041,3742,3753,0,0,0,0
U17043,190542,191263,173,48,439,16
U17045,2620,2630,0,0,0,0
U17047,1144,1152,0,0,0,0
U17049,1707,1721,0,0,0,0
U17051,2757,2773,0,0,0,0
U17053,2866,2871,0,0,0,0
U17055,6448,6483,0,0,0,0
U17057,6715,6740,0,0,0,0
U17059,1350,1359,0,0,0,0
U17061,3097,3110,0,0,0,0
U17063,9335,9362,0,0,1,0
U17065,1845,1851,0,0,0,0
U17067,4200,4214,0,0,0,0
U17069,626,631,0,0,0,0
U17071,2646,2656,0,0,0,0
U17073,10505,10540,1,0,1,0
U17075,5508,5520,0,0,0,0
U17077,4903,4947,0,0,0,0
U17079,1806,1813,0,0,0,0
U17081,3098,3124,0,0,0,0
U17083,5722,5750,0,0,0,0
U17085,4370,4383,0,0,0,0
U17087,2300,2309,0,0,0,0
U17089,84640,84966,34,6,84,5
U17091,10261,10316,1,0,2,0
U17093,19516,19566,1,0,2,0
U17095,3715,3729,0,7,0,0
U17097,104366,104844,67,0,220,16
U17099,13324,13389,2,0,3,0
U17101,2506,2518,0,0,0,0
U17103,5865,5879,0,0,0,0
U17105,4341,4358,0,0,0,0
U17107,4090,4100,0,0,0,0
U17109,1869,1885,0,0,0,0
U17111,64926,65132,16,0,45,9
U17113,6600,6647,1,0,2,0
U17115,4685,4711,1,0,1,6
U17117,11057,11104,1,0,1,0
U17119,46169,46350,13,0,12,0
U17121,4428,4453,0,0,0,0
U17123,3318,3323,0,0,0,0
U17125,3554,3563,0,0,0,0
U17127,2792,2807,0,0,0,0
U17129,4293,4304,0,0,0,0
U17131,4673,4686,0,0,0,0
U17133,8975,9015,0,0,0,0
U17135,3905,3933,0,0,0,0
U17137,3615,3640,0,0,0,0
U17139,3218,3233,0,0,0,0
U17141,10463,10498,1,0,1,0
U17143,12722,12807,2,0,4,0
U17145,3634,3653,0,6,0,0
U17147,4903,4915,0,0,0,0
U17149,2612,2625,0,0,0,0
U17151,1094,1103,0,0,0,0
U17153,1518,1528,0,0,0,0
U17155,1662,1664,0,0,0,2
U17157,4178,4211,0,0,0,0
U17159,1320,1329,0,0,0,0
U17161,16950,17041,2,0,4,0
U17163,42884,43057,12,0,10,0
U17165,2600,2619,0,0,0,0
U17167,5085,5136,1,0,1,0
U17169,1656,1663,0,0,0,0
U17171,1641,1645,0,0,0,0
U17173,5198,5214,0,0,0,0
U17175,1519,1527,0,0,0,0
U17177,4718,4739,0,0,1,0
U17179,27775,27881,4,0,6,0
U17181,2697,2708,0,0,0,0
U17183,4885,4904,0,0,1,0
U17185,2333,2349,0,0,0,0
U17187,3643,3658,0,0,0,0
U17189,3126,3144,0,0,0,0
U17191,2528,2543,0,0,0,0
U17193,2386,2400,0,0,0,0
U17195,7566,7592,0,7,1,0
U17197,133957,134360,69,0,159,36
U17199,8550,8603,1,0,0,0
U17201,17254,17385,5,0,12,0
U17203,9801,9826,0,0,1,0
U18001,4556,4572,0,0,1,0
U18003,14457,14542,5,4,23,25
U18005,5072,5106,0,0,1,0
U18007,2310,2316,0,0,0,0
U18009,2908,2915,0,0,0,0
U18011,12662,12696,1,0,1,0
U18013,4531,4545,0,0,0,0
U18015,5320,5336,0,0,0,0
U18017,5056,5072,0,0,1,0
U18019,23565,23634,3,0,3,10
U18021,6098,6127,0,0,0,0
U18023,5565,5584,0,0,0,0
U18025,2845,2861,0,0,0,0
U18027,4012,4030,0,0,0,0
U18029,13154,13203,1,0,1,0
U18031,3093,3099,0,0,0,6
U18033,6671,6692,0,0,2,0
U18035,9225,9268,1,0,3,0
U18037,1882,1904,0,0,0,0
U18039,9736,9785,2,14,7,0
U18041,3449,3464,0,0,0,0
U18043,20359,20444,2,0,2,0
U18045,3751,3765,0,0,0,0
U18047,6867,6889,0,0,0,0
U18049,3547,3559,0,0,0,0
U18051,6008,6038,0,0,0,0
U18053,5420,5438,0,0,1,0
U18055,7641,7669,0,0,0,0
U18057,51037,51199,10,0,22,0
U18059,17988,18032,1,0,2,0
U18061,9798,9836,0,0,0,0
U18063,33360,33451,4,0,7,0
U18065,8926,8964,0,0,1,0
U18067,4187,4211,0,0,1,0
U18069,6987,7000,0,0,1,0
U18071,4522,4544,0,0,0,0
U18073,5566,5580,0,0,0,0
U18075,3883,3896,0,0,0,0
U18077,3236,3255,0,0,0,0
U18079,5712,5737,0,0,0,0
U18081,34106,34202,4,0,7,0
U18083,2910,2923,0,0,0,0
U18085,9282,9305,1,0,2,12
U18087,5995,6011,0,0,1,0
U18089,58004,58288,29,0,76,16
U18091,12978,13034,1,0,4,0
U18093,7156,7188,0,0,0,0
U18095,19298,19371,3,0,7,0
U18097,55850,56123,52,48,102,14
U18099,6807,6832,0,0,1,0
U18101,2069,2077,0,0,0,0
U18103,6681,6701,0,0,1,0
U18105,6494,6530,1,14,1,0
U18107,3574,3589,0,0,0,0
U18109,19999,20048,1,0,2,0
U18111,3848,3854,0,0,0,0
U18113,8693,8711,0,0,2,0
U18115,1848,1852,0,0,0,0
U18117,3055,3074,0,0,0,0
U18119,6247,6266,0,0,0,0
U18121,3729,3739,0,0,0,5
U18123,3406,3424,0,0,0,0
U18125,3228,3244,0,0,0,0
U18127,31576,31689,5,0,13,0
U18129,6505,6531,0,0,0,0
U18131,2404,2413,0,0,0,0
U18133,5915,5936,0,0,0,7
U18135,5619,5641,0,0,1,0
U18137,5740,5761,0,0,0,0
U18139,4324,4335,0,0,0,0
U18141,21080,21181,6,8,20,0
U18143,4431,4450,0,0,0,0
U18145,8910,8949,0,0,1,0
U18147,5251,5280,0,0,0,0
U18149,5148,5160,0,0,0,0
U18151,4991,5005,0,0,1,0
U18153,4280,4301,0,0,0,0
U18155,2484,2491,0,0,0,0
U18157,5543,5585,1,0,2,0
U18159,4514,4532,0,0,0,0
U18161,2159,2165,0,0,0,0
U18163,8467,8535,2,0,2,0
U18165,3944,3956,0,0,0,1
U18167,4886,4909,1,0,1,5
U18169,4443,4459,0,0,0,0
U18171,2832,2838,0,0,0,0
U18173,16808,16855,1,0,1,0
U18175,6190,6214,0,0,0,0
U18177,4458,4488,0,0,1,0
U18179,5626,5632,0,0,1,5
U18181,4439,4452,0,0,0,0
