uid,population,commuters,ratio
13125,2556,792,0.30985915493
13127,67568,1991,0.0294666114137
13129,44104,6820,0.154634500272
13131,23659,4334,0.18318610254
13133,14406,1743,0.120991253644
13135,588448,140667,0.239047460438
13137,35902,5174,0.144114534009
13139,139277,18693,0.134214550859
13141,10076,1839,0.182512901945
13143,25690,6011,0.2339820942
13145,23695,8937,0.377168178941
13147,22997,3491,0.15180240901
13149,11012,3075,0.279240828187
13151,119341,41602,0.348597715789
13153,110765,13072,0.118015618652
13155,9931,2277,0.229282046118
13157,41589,11172,0.268628723941
13159,11426,3213,0.281200770173
13161,12684,1458,0.114947965941
13163,17266,1999,0.115776670914
13165,8575,1144,0.133411078717
13167,8560,1645,0.192172897196
13169,23639,8068,0.341300393418
13171,15912,4527,0.284502262443
13173,7241,1938,0.267642590802
13175,44874,2940,0.0655167803182
13177,24757,9758,0.39415114917
13179,61610,5423,0.0880214250933
13181,8348,1974,0.23646382367
13183,10304,3772,0.366071428571
13185,92115,3506,0.0380611192531
13187,21016,4920,0.234107346783
13189,21231,3430,0.161556214969
13191,10847,2289,0.211026090163
13193,14074,1955,0.138908625835
13195,25730,8825,0.342984842596
13197,7144,1579,0.221024636058
13199,22534,4779,0.212079524274
13201,6383,1306,0.204605984647
13205,23932,3163,0.132166137389
13207,21757,6195,0.284735947052
13209,8270,2374,0.287061668682
13211,15457,2708,0.175195704212
13213,36506,9505,0.260368158659
13215,186291,11029,0.0592030747594
13217,62001,17005,0.274269769842
13219,26225,9267,0.353365109628
13221,12635,4633,0.366679857539
13223,81678,30736,0.376306961483
13225,23668,5594,0.236352881528
13227,22983,5798,0.252273419484
13229,15636,3860,0.246866206191
13231,13688,4644,0.339275277615
13233,38127,6970,0.182810082094
13235,9588,1653,0.172403003755
13237,18812,3576,0.190091431001
13239,2598,689,0.265204003079
13241,15050,1159,0.0770099667774
13243,7791,836,0.107303298678
13245,199775,17077,0.0854811663121
13247,70111,18527,0.264252399766
13249,3766,937,0.248805098247
13251,15374,2283,0.14849746325
13253,9369,1642,0.175258832319
13255,58417,11210,0.191896194601
13257,25435,2750,0.108118734028
13259,5252,927,0.17650418888
13261,33200,2311,0.0696084337349
13263,6498,1882,0.289627577716
13265,2077,526,0.253249879634
13267,22305,3176,0.142389598745
13269,8815,1435,0.162790697674
13271,11794,1382,0.117178226217
13273,10970,1871,0.170556061987
13275,42737,2466,0.0577017572595
13277,38407,2621,0.0682427682454
13279,26067,2742,0.10519047071
13281,9319,1539,0.165146474944
13283,6854,1202,0.175372045521
13285,58779,4265,0.0725599278654
13287,9504,1472,0.154882154882
13289,10590,3067,0.289612842304
13291,17289,2199,0.127190699289
13293,27597,3023,0.109540892126
13295,61053,15966,0.261510490885
13297,60687,17807,0.293423632738
13299,35483,2538,0.0715272102133
13301,6336,1303,0.205650252525
13303,21176,1611,0.0760766905931
13305,26565,2540,0.0956145303971
13307,2390,628,0.262761506276
13309,6179,1221,0.197604790419
13311,19944,4512,0.22623345367
13313,83525,5106,0.0611313977851
13315,8577,1508,0.17581905095
13317,10687,993,0.0929166276785
13319,10220,2127,0.208121330724
13321,21967,5674,0.258296535713
16001,300904,10572,0.0351341291575
16003,3476,347,0.0998273878021
16005,75565,4549,0.0601998279627
16007,6411,620,0.0967087817813
16009,9171,552,0.060189728492
16011,41735,5756,0.137917814784
16013,18991,390,0.020536043389
16015,6670,1772,0.265667166417
16017,36835,2602,0.0706393375865
