source,dest,data,model
12011,Mexico,63,1165
12013,Canada,0,0
12013,Mexico,0,0
12015,Canada,0,0
12015,Mexico,0,2
12017,Canada,0,0
12017,Mexico,0,0
12019,Canada,0,0
12019,Mexico,0,0
12021,Canada,22,0
12021,Mexico,12,3
12023,Canada,0,0
12023,Mexico,0,0
12027,Canada,0,0
12027,Mexico,0,0
12029,Canada,0,0
12029,Mexico,0,0
12031,Canada,0,4
12031,Mexico,6,2
12033,Canada,7,0
12033,Mexico,0,0
12035,Canada,0,0
12035,Mexico,0,0
12037,Canada,0,0
12037,Mexico,0,0
12039,Canada,0,0
12039,Mexico,0,0
12041,Canada,0,0
12041,Mexico,0,0
12043,Canada,0,0
12043,Mexico,2,0
12045,Canada,0,0
12045,Mexico,0,0
12047,Canada,0,0
12047,Mexico,0,0
12049,Canada,0,0
12049,Mexico,15,0
12051,Canada,0,0
12051,Mexico,0,0
12053,Canada,0,0
12053,Mexico,0,0
12055,Canada,0,0
12055,Mexico,0,0
12057,Canada,36,14
12057,Mexico,28,68
12059,Canada,0,0
12059,Mexico,0,0
12061,Canada,0,0
12061,Mexico,12,0
12063,Canada,0,0
12063,Mexico,0,0
12065,Canada,0,0
12065,Mexico,0,0
12067,Canada,0,0
12067,Mexico,0,0
12069,Canada,2,0
12069,Mexico,0,2
12071,Canada,5,0
12071,Mexico,7,19
12073,Canada,0,0
12073,Mexico,0,0
12075,Canada,2,0
12075,Mexico,0,0
12077,Canada,0,0
12077,Mexico,0,0
12079,Canada,0,0
12079,Mexico,0,0
12081,Canada,0,0
12081,Mexico,7,5
12083,Canada,9,0
12083,Mexico,0,0
12085,Canada,0,0
12085,Mexico,19,2
12086,Canada,27,44
12086,Mexico,139,924
12087,Canada,10,0
12087,Mexico,33,0
12089,Canada,0,0
12089,Mexico,0,0
12091,Canada,0,0
12091,Mexico,0,0
12093,Canada,0,0
12093,Mexico,0,0
12095,Canada,56,18
12095,Mexico,20,50
12097,Canada,0,0
12097,Mexico,0,2
12099,Canada,21,15
12099,Mexico,32,138
12101,Canada,0,2
12101,Mexico,4,16
12103,Canada,14,14
12103,Mexico,13,82
12105,Canada,0,1
12105,Mexico,0,9
12107,Canada,0,0
12107,Mexico,0,0
12109,Canada,0,0
12109,Mexico,24,0
12111,Canada,18,0
12111,Mexico,0,3
12113,Canada,6,0
12113,Mexico,5,0
12115,Canada,19,0
12115,Mexico,27,5
12117,Canada,11,7
