uid,usColor,usOpacity,mexicoColor,mexicoOpacity,canadaColor,canadaOpacity
U05095,darkgreen,0.000916028179676,darkorange,0.0,darkorange,0.0
U05097,darkgreen,0.000714091251272,darkorange,0.0,darkorange,0.0
U05099,darkgreen,0.000709107090348,darkorange,0.0,darkorange,0.0
U05101,darkgreen,0.000503142595819,darkorange,0.0,darkorange,0.0
U05103,darkgreen,0.00112930119337,darkorange,0.0,darkorange,0.0
U05105,darkgreen,0.000949840063379,darkorange,0.0,darkorange,0.0
U05107,darkgreen,0.00118528781147,darkorange,0.0,darkorange,0.0
U05109,darkgreen,0.000818920548493,darkorange,0.0,darkorange,0.0
U05111,darkgreen,0.00107244804868,darkorange,0.0,darkorange,0.0
U05113,darkgreen,0.000684774885128,darkgreen,0.271831577026,darkorange,0.0
U05115,darkgreen,0.00108875666202,darkorange,0.0,darkgreen,0.153469321856
U05117,darkgreen,0.000658416600688,darkorange,0.0,darkorange,0.0
U05119,darkgreen,0.00147500962472,darkorange,0.271831577026,darkorange,0.153469321856
U05121,darkgreen,0.00072081582449,darkorange,0.0,darkorange,0.0
U05123,darkgreen,0.001426018947,darkorange,0.0,darkorange,0.0
U05125,darkgreen,0.000428941735739,darkorange,0.224828492762,darkorange,0.0968283614195
U05127,darkgreen,0.000873771710923,darkorange,0.0,darkorange,0.0
U05129,darkgreen,0.00067648459968,darkorange,0.0,darkorange,0.0
U05131,darkgreen,0.00130442255282,darkorange,0.153469321856,darkorange,0.0
U05133,darkgreen,0.00104760765498,darkorange,0.0,darkorange,0.0
U05135,darkgreen,0.000895886330194,darkorange,0.0,darkorange,0.0
U05137,darkgreen,0.000793716890063,darkorange,0.0,darkorange,0.0
U05139,darkgreen,0.00222329038008,darkorange,0.0,darkorange,0.0
U05141,darkgreen,0.000843681709139,darkorange,0.0,darkorange,0.0
U05143,darkgreen,0.000958968733953,darkorange,0.193656722839,darkorange,0.0968283614195
U05145,darkgreen,0.000942686305924,darkorange,0.0968283614195,darkorange,0.0
U05147,darkgreen,0.00063569528057,darkorange,0.0,darkorange,0.0
U05149,darkgreen,0.00104765600414,darkorange,0.0,darkorange,0.0
U06001,darkgreen,0.00189758774515,darkorange,0.64892685512,darkorange,0.600198485903
U06003,darkgreen,0.000639331993919,darkorange,0.0,darkorange,0.0
U06005,darkgreen,0.000316407376126,darkorange,0.0968283614195,darkorange,0.0
U06007,darkgreen,0.00057952678659,darkorange,0.0351070666866,darkorange,0.224828492762
U06009,darkgreen,0.000106954906716,darkorange,0.153469321856,darkorange,0.0968283614195
U06011,darkgreen,0.000201578385393,darkorange,0.0,darkorange,0.0
U06013,darkgreen,0.00128824341059,darkorange,0.479330684287,darkorange,0.376044640016
U06015,darkgreen,0.00215747603947,darkorange,0.0,darkorange,0.0
U06017,darkgreen,0.000380295799347,darkorange,0.475126176038,darkorange,0.347126044695
U06019,darkgreen,0.00140227314293,darkorange,0.186950132728,darkorange,0.203294599012
U06021,darkgreen,0.000279015665668,darkorange,0.0,darkorange,0.0
U06023,darkgreen,0.0011877673556,darkorange,0.0968283614195,darkorange,0.0
U06025,darkgreen,0.268601518744,darkorange,0.244035123445,darkorange,0.0
U06027,darkgreen,0.000244862107983,darkorange,0.0,darkorange,0.0
U06029,darkgreen,0.00170120111599,darkorange,0.623859661421,darkorange,0.368659938445
U06031,darkgreen,0.000441836309839,darkorange,0.306938643712,darkorange,0.153469321856
U06033,darkgreen,3.25361121391e-05,darkgreen,0.250297683276,darkorange,0.0968283614195
U06035,darkgreen,0.00124665594009,darkorange,0.0,darkorange,0.0
U06037,darkgreen,0.0185165166692,darkorange,0.530897116182,darkorange,0.289966739334
U06039,darkgreen,0.000340061238407,darkorange,0.0631395180497,darkorange,0.193656722839
U06041,darkgreen,0.000509116468471,darkorange,0.279594340523,darkorange,0.460407965569
U06043,darkgreen,0.000305843136591,darkorange,0.0,darkorange,0.0
U06045,darkgreen,0.000759207286314,darkorange,0.0968283614195,darkorange,0.0
U06047,darkgreen,0.000511853373414,darkorange,0.460407965569,darkorange,0.290485084258
U06049,darkgreen,0.00124394229672,darkorange,0.0,darkorange,0.0
U06051,darkgreen,0.000392582357219,darkorange,0.0,darkorange,0.0
U06053,darkgreen,0.000850343220195,darkorange,0.554625151957,darkgreen,0.0271223908361
U06055,darkgreen,0.000408681812761,darkorange,0.321656854181,darkorange,0.224828492762
U06057,darkgreen,0.000287783462186,darkgreen,0.0215338937501,darkorange,0.153469321856
U06059,darkgreen,0.00657406875558,darkorange,0.538630144586,darkorange,0.272669323446
U06061,darkgreen,0.000484311377903,darkorange,0.583136007201,darkorange,0.0678224301807
U06063,darkgreen,0.000764748972919,darkorange,0.0,darkorange,0.0
U06065,darkgreen,0.00934112461941,darkorange,0.730030289758,darkorange,0.202928908235
U06067,darkgreen,0.00179313885723,darkorange,0.433668297703,darkorange,0.500595366551
U06069,darkgreen,0.000174804559431,darkorange,0.224828492762,darkorange,0.0968283614195
U06071,darkgreen,0.00319402834856,darkorange,0.492057173199,darkorange,0.828697854005
U06073,darkgreen,0.059805813582,darkorange,0.257376610637,darkorange,0.0723534370022
U06075,darkgreen,0.00118805625167,darkorange,0.502079905462,darkorange,0.232968297775
U06077,darkgreen,0.000982294927078,darkorange,0.416924374817,darkorange,0.165839682154
U06079,darkgreen,0.000736836940852,darkorange,0.438009091985,darkorange,0.224828492762
U06081,darkgreen,0.00105759672488,darkorange,0.386702983832,darkorange,0.337619398027
U06083,darkgreen,0.000977586040976,darkorange,0.522129260301,darkgreen,0.0968283614195
U06085,darkgreen,0.00240671586716,darkorange,0.562938906397,darkorange,0.400878108743
U06087,darkgreen,0.000552486074245,darkorange,0.567218700985,darkorange,0.395782329281
U06089,darkgreen,0.000468673274467,darkgreen,0.047003084264,darkgreen,0.0401874009828
U06091,darkgreen,0.000236168774488,darkorange,0.0,darkorange,0.0
U06093,darkgreen,0.000539358958982,darkorange,0.0,darkgreen,0.153469321856
U06095,darkgreen,0.000716140918057,darkorange,0.724645618878,darkorange,0.290485084258
U06097,darkgreen,0.000691202364249,darkorange,0.268038752275,darkorange,0.0
U06099,darkgreen,0.000893520618625,darkorange,0.648792598698,darkorange,0.193656722839
U06101,darkgreen,0.000284155182516,darkorange,0.271831577026,darkgreen,0.0968283614195
U06103,darkgreen,0.000314015001994,darkorange,0.0968283614195,darkorange,0.0968283614195
U06105,darkgreen,0.000763355980601,darkorange,0.0,darkorange,0.0
U06107,darkgreen,0.000883420376999,darkorange,0.525416324826,darkorange,0.321656854181
U06109,darkgreen,0.00033260443531,darkorange,0.0968283614195,darkorange,0.0
U06111,darkgreen,0.00162966197793,darkorange,0.441409108848,darkorange,0.61214193844
U06113,darkgreen,0.000273006163526,darkgreen,0.00547889033505,darkorange,0.321656854181
U06115,darkgreen,0.000262582402197,darkorange,0.193656722839,darkorange,0.0968283614195
U08001,darkgreen,0.000479588112014,darkorange,0.389479284362,darkorange,0.534837453404
U08003,darkgreen,0.000789678738478,darkorange,0.0,darkorange,0.0
U08005,darkgreen,0.000593703038457,darkorange,0.504422833285,darkorange,0.059852453525
U08007,darkgreen,0.000299450911747,darkorange,0.0,darkorange,0.0
U08009,darkgreen,0.00245083122803,darkorange,0.0,darkorange,0.0
U08011,darkgreen,0.0010939272569,darkorange,0.0,darkorange,0.0
U08013,darkgreen,0.000789083985746,darkorange,0.172486142159,darkorange,0.358307514439
U08015,darkgreen,0.00137902202648,darkorange,0.0,darkorange,0.0
U08017,darkgreen,0.00227149389913,darkorange,0.0,darkorange,0.0
U08019,darkgreen,0.00040238279431,darkorange,0.0,darkorange,0.0
U08021,darkgreen,0.00087582604657,darkorange,0.0,darkorange,0.0
U08023,darkgreen,0.00178524853778,darkorange,0.0,darkorange,0.0
U08025,darkgreen,0.000266337157585,darkorange,0.0,darkorange,0.0
U08027,darkgreen,0.000348798675188,darkorange,0.0,darkorange,0.0
U08029,darkgreen,0.000585473601508,darkorange,0.0968283614195,darkorange,0.0
U08031,darkgreen,0.000682629515761,darkorange,0.268392786846,darkorange,0.257113366557
U08033,darkorange,0.0,darkorange,0.0,darkorange,0.0
U08035,darkgreen,0.000439546111383,darkorange,0.177582251262,darkgreen,0.0336888433698
U08037,darkgreen,0.000221326368195,darkgreen,0.321656854181,darkorange,0.0
U08039,darkgreen,0.000554561255645,darkorange,0.0968283614195,darkorange,0.0
U08041,darkgreen,0.00187417512981,darkorange,0.540782767534,darkgreen,0.0401874009828
U08043,darkgreen,0.00102559381564,darkorange,0.153469321856,darkorange,0.0
U08045,darkgreen,0.000587690378087,darkorange,0.153469321856,darkorange,0.0
U08047,darkgreen,0.000157047567791,darkorange,0.0,darkorange,0.0
U08049,darkgreen,0.000630672840231,darkorange,0.0,darkorange,0.0
U08051,darkgreen,0.00160109256241,darkorange,0.0,darkorange,0.0
U08053,darkgreen,0.00443509621221,darkorange,0.0,darkorange,0.0
U08055,darkgreen,0.000940702523437,darkorange,0.0,darkorange,0.0
U08057,darkorange,0.0,darkorange,0.0,darkorange,0.0
U08059,darkgreen,0.000707954531359,darkorange,0.516916200298,darkorange,0.277170843364
U08061,darkgreen,0.00517443588071,darkorange,0.0,darkorange,0.0
U08063,darkorange,0.000583273485536,darkorange,0.0,darkorange,0.0
U08065,darkgreen,0.000338487679151,darkorange,0.0,darkorange,0.0
U08067,darkgreen,0.0012821381329,darkorange,0.0968283614195,darkorange,0.0
U08069,darkgreen,0.000905074690494,darkorange,0.0116478935391,darkorange,0.334971095075
U08071,darkgreen,0.000970099709996,darkorange,0.0,darkorange,0.0
U08073,darkgreen,0.00112656898341,darkorange,0.0,darkorange,0.0
U08075,darkgreen,0.000659712191097,darkorange,0.0,darkorange,0.0
U08077,darkgreen,0.000912041086306,darkorange,0.153469321856,darkorange,0.0
U08079,darkgreen,0.00210069818543,darkorange,0.0,darkorange,0.0
U08081,darkgreen,0.000638601326237,darkorange,0.0,darkorange,0.0
U08083,darkgreen,0.000187257128358,darkorange,0.0,darkgreen,0.224828492762
U08085,darkgreen,0.00077037215553,darkorange,0.0968283614195,darkorange,0.0
U08087,darkgreen,0.00123773001851,darkorange,0.0,darkorange,0.0
U08089,darkgreen,0.000960832348552,darkorange,0.0,darkorange,0.0
U08091,darkgreen,0.000847487716655,darkorange,0.0,darkorange,0.0
U08093,darkgreen,0.000423957220212,darkorange,0.0968283614195,darkorange,0.0
U08095,darkgreen,0.00126995235389,darkorange,0.0,darkorange,0.0
U08097,darkgreen,0.000334596080534,darkorange,0.0,darkorange,0.0
U08099,darkgreen,0.001603849958,darkorange,0.0,darkorange,0.0
U08101,darkgreen,0.00164237124885,darkorange,0.306938643712,darkorange,0.0
U08103,darkgreen,0.00224232417741,darkorange,0.0,darkorange,0.0
U08105,darkgreen,0.000733944578877,darkorange,0.0,darkorange,0.0
