uid,percentPoverty,medianIncome
20093,10.2,41393
20095,9.6,38604
20097,10.9,33272
20099,12.9,31867
20101,9.4,37661
20103,7.5,48525
20105,9.7,32099
20107,11.5,36066
20109,9.0,34332
20111,11.4,34209
20113,6.7,42802
20115,9.2,35315
20117,9.6,34143
20119,8.2,39218
20121,7.2,45263
20123,8.7,34863
20125,12.2,32223
20127,9.2,33913
20129,9.7,39602
20131,9.5,36091
20133,11.4,33312
20135,7.3,34919
20137,10.9,32688
20139,8.6,39028
20141,10.8,30057
20143,7.7,39498
20145,10.1,36007
20147,10.0,35781
20149,7.8,42448
20151,9.8,36882
20153,10.4,33262
20155,10.6,36939
20157,10.8,31339
20159,10.8,36226
20161,11.9,33812
20163,11.4,31591
20165,10.6,32084
20167,11.5,30057
20169,8.6,39371
20171,7.0,42424
20173,9.0,44145
20175,12.4,37433
20177,8.8,41873
20179,9.3,35702
20181,12.6,33946
20183,10.2,30306
20185,11.9,32246
20187,10.7,40660
20189,10.0,43365
20191,9.0,40872
20193,8.8,38338
20195,10.0,31269
20197,7.2,42317
20199,11.6,34816
20201,10.1,30793
20203,11.6,35892
20205,12.5,30975
20207,12.9,26334
20209,14.1,33071
21001,21.5,24574
21003,13.3,32317
21005,7.6,46617
21007,13.1,33950
21009,14.4,32458
21011,18.8,27539
21013,26.8,20483
21015,5.5,55418
21017,11.9,36769
21019,14.5,33567
21021,12.2,36573
21023,11.4,35719
21025,28.3,20850
21027,15.5,31624
21029,7.6,46867
21031,15.9,30431
21033,14.5,30351
21035,13.9,31557
21037,8.6,43042
21039,12.6,32092
21041,13.3,36819
21043,19.6,28057
21045,20.8,23342
21047,14.7,31789
21049,11.4,40736
21051,32.2,18256
21053,22.8,21293
21055,16.1,29905
21057,22.6,22416
21059,11.2,38067
21061,16.6,27332
21063,24.7,22450
21065,20.9,25160
21067,10.7,40696
21069,16.9,29235
21071,24.8,22959
21073,9.2,41542
21075,20.4,25792
21077,14.1,35900
21079,13.5,35440
21081,11.2,39243
21083,13.7,32234
21085,16.1,28974
21087,18.0,26271
21089,13.6,33229
21091,10.2,40005
21093,10.1,39641
21095,27.6,20660
21097,11.4,37191
21099,20.4,26587
21101,11.9,36902
21103,12.8,37760
21105,15.8,33208
21107,14.7,32033
21109,24.2,21856
21111,10.5,42394
21113,11.3,40729
21115,22.4,26130
21117,8.6,44657
21119,25.4,22250
21121,27.4,20362
21123,14.2,33282
21125,17.4,29014
21127,23.6,23544
21129,29.5,19975
21131,24.8,20521
21133,23.1,23003
21135,23.8,23537
21137,17.0,28443
21139,12.2,33313
21141,13.4,33503
21143,13.8,32241
21145,13.2,35999
21147,29.7,20083
21149,13.4,32346
21151,14.1,34354
21153,28.6,21127
21155,16.4,31264
21157,10.0,36675
21159,28.5,20348
21161,15.2,31829
21163,9.0,39820
21165,23.4,23745
21167,11.7,37379
21169,20.3,24568
21171,20.2,23753
21173,14.2,32576
21175,26.0,23231
21177,15.3,29787
21179,10.6,40625
21181,14.7,30695
21183,15.6,30580
21185,4.6,64895
21187,15.8,33773
21189,36.9,17062
21191,11.1,39263
21193,24.4,23868
21195,20.5,25786
21197,20.5,27063
21199,16.5,28266
21201,17.6,30559
21203,19.9,25054
21205,19.4,29020
21207,21.2,23394
21209,9.3,48878
21211,8.8,46806
21213,11.1,37587
21215,8.3,47202
21217,15.7,28712
21219,14.9,30903
21221,11.7,34220
21223,11.8,36509
21225,13.0,35049
21227,13.2,37385
21229,12.6,34102
21231,23.4,22368
21233,13.6,33346
21235,23.8,23413
21237,32.3,19977
21239,7.3,51459
22001,19.6,28022
22003,21.4,28385
22005,10.5,45398
22007,18.4,31923
22009,23.6,24925
22011,14.9,33830
22013,22.1,24861
22015,11.9,39570
22017,18.9,32265
22019,14.1,36307
22021,19.2,27411
22023,11.3,36018
22025,24.9,23738
22027,23.8,26100
22029,24.5,23865
22031,20.4,29004
22033,14.8,37943
22035,39.9,20566
22037,18.6,31307
22039,25.4,22405
22041,26.1,23698
22043,18.2,30757
22045,18.9,32019
22047,20.4,29869
22049,16.9,29901
22051,13.5,37695
22053,18.0,29083
22055,14.3,37673
22057,14.0,36058
22059,16.4,29359
22061,20.5,28493
22063,11.4,40277
22065,30.9,21277
22067,23.5,25795
22069,22.0,26809
22071,24.8,27788
22073,18.4,31808
22075,15.4,37305
22077,18.0,31675
22079,18.5,30636
22081,24.4,24249
22083,25.6,24238
22085,18.7,28150
22087,13.0,35711
22089,11.6,45786
22091,22.8,26649
22093,16.3,35465
22095,15.8,38674
22097,23.5,23952
22099,18.4,30935
22101,19.8,29797
22103,10.1,50376
22105,21.1,29332
22107,33.1,20635
22109,15.9,36050
