uid,region,name,population,latitude,longitude,commuters
C6001,Yukon,Yukon,28674,64.2823274,-135,4100
C6106,Northwest Territories,Fort Smith Region,28824,62.45,-114.4,4122
C6107,Northwest Territories,Inuvik Region,8536,68.3607437,-133.7230177,1221
C6204,Nunavut,Baffin Region,14372,70,-80,2055
C6205,Nunavut,Keewatin Region,7557,62.8067068,-92.3602529,1081
C6208,Nunavut,Kitikmeot Region,4816,68.9167,-100.75,689
U01001,Alabama,Autauga,43671,32.5364,-86.6445,11921
U01003,Alabama,Baldwin,140415,30.6592,-87.7461,16981
U01005,Alabama,Barbour,29038,31.8707,-85.4055,1651
U01007,Alabama,Bibb,20826,33.0159,-87.1271,4676
U01009,Alabama,Blount,51024,33.9774,-86.5672,13289
U01011,Alabama,Bullock,11714,32.1018,-85.7173,1145
U01013,Alabama,Butler,21399,31.7517,-86.682,2165
U01015,Alabama,Calhoun,112249,33.7717,-85.8225,7320
U01017,Alabama,Chambers,36583,32.9179,-85.3918,6195
U01019,Alabama,Cherokee,23988,34.0695,-85.6542,5369
U01021,Alabama,Chilton,39593,32.8541,-86.7266,9028
U01023,Alabama,Choctaw,15922,31.991,-88.2489,1910
U01025,Alabama,Clarke,27867,31.6855,-87.8186,2494
U01027,Alabama,Clay,14254,33.2678,-85.8621,1987
U01029,Alabama,Cleburne,14123,33.672,-85.5161,3644
U01031,Alabama,Coffee,43615,31.4022,-85.9892,6640
U01033,Alabama,Colbert,54984,34.7031,-87.8015,7880
U01035,Alabama,Conecuh,14089,31.4283,-86.992,2239
U01037,Alabama,Coosa,12202,32.9314,-86.2435,3562
U01039,Alabama,Covington,37631,31.244,-86.4487,2657
U01041,Alabama,Crenshaw,13665,31.7328,-86.3192,2777
U01043,Alabama,Cullman,77483,34.1319,-86.8693,9859
U01045,Alabama,Dale,49129,31.4307,-85.6095,7533
U01047,Alabama,Dallas,46365,32.3335,-87.1144,2071
U01049,Alabama,De Kalb,64452,34.4609,-85.804,7183
U01051,Alabama,Elmore,65874,32.5972,-86.1427,18685
U01053,Alabama,Escambia,38440,31.1217,-87.1684,3137
U01055,Alabama,Etowah,103459,34.0476,-86.0344,10447
U01057,Alabama,Fayette,18495,33.7322,-87.752,2944
U01059,Alabama,Franklin,31223,34.442,-87.8428,4484
U01061,Alabama,Geneva,25764,31.0909,-85.8243,5232
U01063,Alabama,Greene,9974,32.8445,-87.9642,1584
U01065,Alabama,Hale,17185,32.7528,-87.6231,2968
U01067,Alabama,Henry,16310,31.517,-85.24,3551
U01069,Alabama,Houston,88787,31.1582,-85.2964,4875
U01071,Alabama,Jackson,53926,34.7635,-85.9774,7752
U01073,Alabama,Jefferson,662047,33.5534,-86.8965,26735
U01075,Alabama,Lamar,15904,33.7871,-88.0874,2311
U01077,Alabama,Lauderdale,87966,34.9041,-87.651,11325
U01079,Alabama,Lawrence,34803,34.5298,-87.3219,9044
U01081,Alabama,Lee,115092,32.6041,-85.353,16561
U01083,Alabama,Limestone,65676,34.8102,-86.9814,13473
U01085,Alabama,Lowndes,13473,32.1479,-86.6506,3040
U01087,Alabama,Macon,24105,32.387,-85.6929,3779
U01089,Alabama,Madison,276700,34.7642,-86.5511,7736
U01091,Alabama,Marengo,22539,32.2476,-87.7911,2300
U01093,Alabama,Marion,31214,34.1382,-87.8816,3779
U01095,Alabama,Marshall,82231,34.3096,-86.3217,9406
U01097,Alabama,Mobile,399843,30.6846,-88.1966,13068
U01099,Alabama,Monroe,24324,31.5803,-87.3833,1393
U01101,Alabama,Montgomery,223510,32.2037,-86.2038,6455
U01103,Alabama,Morgan,111064,34.4545,-86.8464,13755
U01105,Alabama,Perry,11861,32.639,-87.2938,1685
U01107,Alabama,Pickens,20949,33.2968,-88.0969,3532
U01109,Alabama,Pike,29605,31.7987,-85.942,2529
U01111,Alabama,Randolph,22380,33.2965,-85.4641,3740
U01113,Alabama,Russell,49756,32.2898,-85.187,12791
U01115,Alabama,St. Clair,64742,33.713,-86.3157,17119
U01117,Alabama,Shelby,143293,33.2629,-86.6781,41175
U01119,Alabama,Sumter,14798,32.5975,-88.2001,1430
U01121,Alabama,Talladega,80321,33.3693,-86.1758,10880
U01123,Alabama,Tallapoosa,41475,32.8634,-85.7996,4884
U01125,Alabama,Tuscaloosa,164875,33.2902,-87.5229,7940
U01127,Alabama,Walker,70713,33.7916,-87.3011,10126
U01129,Alabama,Washington,18097,31.407,-88.2021,3234
U01131,Alabama,Wilcox,13183,31.9903,-87.3022,1241
U01133,Alabama,Winston,24843,34.1559,-87.3641,2988
U02013,Alaska,Aleutians East,2697,55.2437,-161.9507,5
U02016,Alaska,Aleutians West,5465,51.9594,178.3388,246
U02020,Alaska,Anchorage,260283,61.1775,-149.2744,4052
U02050,Alaska,Bethel,16006,60.9289,-160.1533,77
U02060,Alaska,Bristol Bay,1258,58.7314,-156.9866,8
U02068,Alaska,Denali,1893,63.6827,-150.0267,109
U02070,Alaska,Dillingham,4922,59.8248,-158.6022,42
U02090,Alaska,Fairbanks North Star,82840,64.6908,-146.5999,842
U02100,Alaska,Haines,2392,59.0999,-135.5781,57
U02110,Alaska,Juneau,30711,58.3727,-134.1788,218
U02122,Alaska,Kenai Peninsula,49691,60.3664,-152.322,1439
U02130,Alaska,Ketchikan Gateway,14070,55.4499,-131.1067,216
U02150,Alaska,Kodiak Island,13913,57.5536,-153.6309,107
U02164,Alaska,Lake and Peninsula,1823,58.2051,-156.7052,18
U02170,Alaska,Matanuska Susitna,59322,62.1822,-149.408,8685
U02180,Alaska,Nome,9196,64.7837,-164.1889,45
U02185,Alaska,North Slope,7385,69.4493,-153.4728,30
U02188,Alaska,Northwest Arctic,7208,67.0051,-160.0211,13
U02201,Alaska,Prince of Wales Outer Ketchikan,6146,55.45,-132.05,107
U02220,Alaska,Sitka,8835,57.1425,-135.3326,109
U02232,Alaska,Skagway Hoonah Angoon,3436,59.4583,-135.3139,147
U02240,Alaska,Southeast Fairbanks,6174,63.865,-143.2186,134
U02261,Alaska,Valdez Cordova,10195,61.3498,-145.0231,151
U02270,Alaska,Wade Hampton,7028,62.2832,-163.1909,41
U02280,Alaska,Wrangell Petersburg,6684,56.6167,-133.35,78
U02282,Alaska,Yakutat,808,59.9991,-140.2396,24
U02290,Alaska,Yukon Koyukuk,6551,65.3761,-151.5769,161
U04001,Arizona,Apache,69423,35.3858,-109.4937,3488
U04003,Arizona,Cochise,117755,31.8818,-109.7541,2994
U04005,Arizona,Coconino,116320,35.8297,-111.7737,4344
U04007,Arizona,Gila,51335,33.7896,-110.8119,2186
U04009,Arizona,Graham,33489,32.9318,-109.8783,2301
U04011,Arizona,Greenlee,8547,33.2389,-109.2423,212
U04012,Arizona,La Paz,19715,33.7276,-114.0388,892
U04013,Arizona,Maricopa,3072149,33.3465,-112.4955,24007
U04015,Arizona,Mohave,155032,35.7177,-113.7497,14950
U04017,Arizona,Navajo,97470,35.3909,-110.3209,2866
U04019,Arizona,Pima,843746,32.1282,-111.783,9742
U04021,Arizona,Pinal,179727,32.9189,-111.3673,24019
U04023,Arizona,Santa Cruz,38381,31.5259,-110.8452,1729
