uid,U01OLD,U04OLD,U05OLD,U06OLD,U08OLD,U09OLD,U10OLD,U11OLD,U12OLD,U13OLD,U16OLD,U17OLD,U18OLD,U19OLD,U20OLD,U21OLD,U22OLD,U23OLD,U24OLD,U25OLD,U26OLD,U27OLD,U28OLD,U29OLD,U30OLD,U31OLD,U32OLD,U33OLD,U34OLD,U35OLD,U36OLD,U37OLD,U38OLD,U39OLD,U40OLD,U41OLD,U42OLD,U44OLD,U45OLD,U46OLD,U47OLD,U48OLD,U49OLD,U50OLD,U51OLD,U53OLD,U54OLD,U55OLD,U56OLD
U16,0.0,12.0,0.0,384.0,82.0,0.0,0.0,0.0,0.0,0.0,86371.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2015.0,0.0,1212.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3518.0,0.0,0.0,0.0,0.0,0.0,7.0,4748.0,0.0,0.0,13744.0,0.0,0.0,729.0
U17,824.0,187.0,819.0,989.0,208.0,247.0,100.0,101.0,719.0,1342.0,36.0,1041422.0,83881.0,28150.0,787.0,9401.0,271.0,59.0,928.0,375.0,42926.0,3107.0,411.0,81484.0,23.0,529.0,65.0,71.0,881.0,67.0,2488.0,1377.0,65.0,15426.0,456.0,89.0,3133.0,59.0,562.0,150.0,2741.0,1056.0,76.0,36.0,1324.0,176.0,797.0,112435.0,18.0
U18,37.0,7.0,11.0,36.0,4.0,7.0,3.0,5.0,21.0,61.0,0.0,65012.0,687494.0,79.0,14.0,41733.0,3.0,0.0,45.0,14.0,19966.0,45.0,3.0,272.0,0.0,7.0,2.0,1.0,30.0,1.0,94.0,59.0,0.0,24345.0,5.0,0.0,156.0,2.0,23.0,1.0,382.0,24.0,1.0,0.0,50.0,2.0,44.0,847.0,0.0
U19,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18795.0,36.0,264872.0,305.0,2.0,0.0,0.0,0.0,0.0,29.0,6135.0,0.0,3414.0,0.0,17834.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,7.0,0.0,2.0,0.0,0.0,2969.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3202.0,0.0
U20,20.0,5.0,762.0,16.0,234.0,3.0,1.0,1.0,9.0,10.0,0.0,907.0,101.0,1495.0,231635.0,46.0,21.0,0.0,5.0,2.0,43.0,162.0,25.0,43427.0,0.0,4838.0,1.0,0.0,6.0,2.0,13.0,5.0,1.0,37.0,9942.0,0.0,13.0,0.0,3.0,32.0,127.0,468.0,2.0,0.0,1.0,1.0,0.0,112.0,1.0
U21,55.0,1.0,14.0,8.0,0.0,1.0,1.0,2.0,6.0,78.0,0.0,6205.0,42886.0,3.0,1.0,416034.0,0.0,0.0,11.0,1.0,169.0,1.0,2.0,903.0,0.0,0.0,0.0,0.0,5.0,0.0,19.0,106.0,0.0,47586.0,1.0,0.0,49.0,0.0,26.0,0.0,15610.0,6.0,0.0,0.0,2941.0,0.0,3316.0,16.0,0.0
U22,4899.0,5.0,6225.0,24.0,4.0,3.0,1.0,2.0,2157.0,651.0,0.0,65.0,18.0,2.0,15.0,24.0,446384.0,0.0,9.0,3.0,18.0,3.0,35859.0,75.0,0.0,3.0,2.0,0.0,7.0,1.0,19.0,36.0,0.0,33.0,185.0,0.0,13.0,0.0,42.0,0.0,397.0,23538.0,1.0,0.0,6.0,1.0,1.0,6.0,0.0
U23,0.0,0.0,0.0,2.0,0.0,330.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,93492.0,16.0,7795.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30364.0,124.0,0.0,685.0,2.0,0.0,9.0,0.0,0.0,58.0,219.0,0.0,0.0,0.0,1.0,0.0,613.0,5.0,0.0,0.0,1.0,0.0
U24,102.0,53.0,23.0,307.0,45.0,759.0,32836.0,154135.0,364.0,289.0,3.0,409.0,283.0,25.0,24.0,203.0,49.0,64.0,733748.0,711.0,629.0,62.0,24.0,88.0,1.0,14.0,19.0,105.0,12394.0,10.0,7441.0,1523.0,2.0,1561.0,24.0,19.0,55496.0,134.0,287.0,3.0,227.0,224.0,19.0,45.0,180311.0,43.0,15285.0,123.0,0.0
U25,104.0,66.0,29.0,373.0,58.0,51365.0,308.0,155.0,447.0,271.0,7.0,603.0,365.0,49.0,34.0,194.0,58.0,5751.0,1627.0,798999.0,1074.0,108.0,26.0,117.0,4.0,21.0,23.0,36574.0,7434.0,15.0,39895.0,866.0,4.0,1489.0,37.0,27.0,4893.0,72973.0,268.0,4.0,222.0,292.0,26.0,2918.0,1347.0,62.0,245.0,233.0,1.0
U26,130.0,72.0,50.0,396.0,61.0,187.0,92.0,108.0,320.0,267.0,10.0,16877.0,46694.0,277.0,52.0,1228.0,85.0,37.0,1016.0,251.0,1086579.0,324.0,52.0,376.0,6.0,31.0,24.0,49.0,816.0,18.0,3513.0,539.0,7.0,104587.0,62.0,32.0,6862.0,43.0,159.0,7.0,489.0,342.0,29.0,31.0,1057.0,66.0,855.0,39366.0,2.0
U27,57.0,19.0,98.0,107.0,163.0,21.0,8.0,9.0,54.0,78.0,3.0,7825.0,1014.0,20884.0,436.0,171.0,26.0,1.0,72.0,34.0,2558.0,758206.0,23.0,1188.0,8.0,1684.0,8.0,3.0,77.0,9.0,234.0,60.0,9452.0,782.0,149.0,6.0,250.0,4.0,26.0,3890.0,167.0,206.0,18.0,1.0,55.0,16.0,29.0,41720.0,14.0
U28,12900.0,0.0,4198.0,3.0,0.0,0.0,0.0,0.0,756.0,193.0,0.0,43.0,9.0,0.0,3.0,61.0,18550.0,0.0,0.0,0.0,2.0,0.0,302480.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,28788.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
