uid,name,region,population,latitude,longitude
20023,Cheyenne,KS,2726,39.789256,-101.727302
20025,Clark,KS,2215,37.233831,-99.813869
20027,Clay,KS,8535,39.344964,-97.168853
20029,Cloud,KS,9533,39.487329,-97.64139
20031,Coffey,KS,8601,38.23645,-95.729137
20033,Comanche,KS,1891,37.189071,-99.254089
20035,Cowley,KS,36311,37.234507,-96.837247
20037,Crawford,KS,39134,37.505628,-94.853941
20039,Decatur,KS,2961,39.783542,-100.459708
20041,Dickinson,KS,19754,38.867735,-97.157943
20043,Doniphan,KS,7945,39.788502,-95.147225
20045,Douglas,KS,110826,38.896573,-95.290529
20047,Edwards,KS,3037,37.883595,-99.304746
20049,Elk,KS,2882,37.456026,-96.244642
20051,Ellis,KS,28452,38.914596,-99.317329
20053,Ellsworth,KS,6497,38.700845,-98.205355
20055,Finney,KS,36776,38.049855,-100.739929
20057,Ford,KS,33848,37.688365,-99.884734
20059,Franklin,KS,25992,38.558019,-95.278962
20061,Geary,KS,34362,39.002155,-96.768038
20063,Gove,KS,2695,38.917239,-100.48736
20065,Graham,KS,2597,39.349445,-99.880952
20067,Grant,KS,7829,37.547537,-101.299362
20069,Gray,KS,6006,37.744513,-100.451716
20071,Greeley,KS,1247,38.480408,-101.805984
20073,Greenwood,KS,6689,37.878659,-96.242232
20075,Hamilton,KS,2690,37.995244,-101.793689
20077,Harper,KS,6034,37.188184,-98.06659
20079,Harvey,KS,34684,38.050144,-97.436707
20081,Haskell,KS,4256,37.55855,-100.876869
20083,Hodgeman,KS,1916,38.087493,-99.898407
20085,Jackson,KS,13462,39.410989,-95.794509
20087,Jefferson,KS,19126,39.239644,-95.375314
20089,Jewell,KS,3077,39.77701,-98.222584
20091,Johnson,KS,544179,38.883907,-94.82233
20093,Kearny,KS,3977,37.994461,-101.308136
20095,Kingman,KS,7858,37.552951,-98.144529
20097,Kiowa,KS,2553,37.561231,-99.286539
20099,Labette,KS,21607,37.191468,-95.297473
20101,Lane,KS,1750,38.481286,-100.466185
20103,Leavenworth,KS,76227,39.189511,-95.038977
20105,Lincoln,KS,3241,39.047276,-98.214265
20107,Linn,KS,9656,38.216549,-94.844932
20109,Logan,KS,2756,38.91327,-101.157407
20111,Lyon,KS,33690,38.455498,-96.161589
20113,McPherson,KS,29180,38.395812,-97.647489
20115,Marion,KS,12660,38.359647,-97.102771
20117,Marshall,KS,10117,39.782709,-96.521243
20119,Meade,KS,4575,37.243886,-100.360094
20121,Miami,KS,32787,38.566772,-94.832963
20123,Mitchell,KS,6373,39.393026,-98.207362
20125,Montgomery,KS,35471,37.189537,-95.742403
20127,Morris,KS,5923,38.687696,-96.644905
20129,Morton,KS,3233,37.18525,-101.809516
20131,Nemaha,KS,10178,39.791043,-96.005381
20133,Neosho,KS,16512,37.564283,-95.315683
20135,Ness,KS,3107,38.480437,-99.908745
20137,Norton,KS,5671,39.783867,-99.899235
20139,Osage,KS,16295,38.649706,-95.727275
20141,Osborne,KS,3858,39.348649,-98.767876
