source+dest,flux
0103901069,101
0103901071,2
0103901073,49
0103901087,2
0103901097,61
0103901099,45
0103901101,85
0103901109,68
0103901115,2
0103901121,3
0103901125,16
0103901127,2
0103901131,11
0103905143,20
0103906013,14
0103906083,9
0103908031,3
0103911001,5
0103912033,25
0103912081,9
0103912091,155
0103912113,7
0103912131,130
0103913051,5
0103913057,6
0103913121,14
0103913131,15
0103913243,7
0103913313,7
0103918167,10
0103921107,12
0103921111,9
0103921205,17
0103922023,6
0103922033,2
0103922051,18
0103922057,6
0103922071,16
0103922089,1
0103922103,1
0103922109,3
0103926163,7
0103928051,12
0103928059,6
0103928087,10
0103928129,6
0103937119,6
0103937133,5
0103939141,5
0103940031,6
0103947065,9
0103947157,7
0103948113,9
0103948167,7
0103948201,53
0103948423,6
0103951670,3
0103951760,7
0104101001,17
0104101005,9
0104101011,2
0104101013,382
0104101031,167
0104101035,11
0104101039,244
0104101041,2623
0104101045,11
0104101051,31
0104101053,1
0104101055,2
0104101067,4
0104101069,7
0104101073,10
0104101081,5
0104101085,106
0104101101,1159
0104101109,524
0104101111,3
0104101117,8
0104106037,2
0104112033,5
0104112069,2
0104122071,16
0104122079,5
0104128049,2
0104137051,6
0104137135,2
0104142091,2
0104148201,7
0104148439,6
0104148441,17
0104151059,2
0104301009,522
0104301015,12
0104301021,23
0104301025,8
0104301031,7
0104301037,17
0104301043,24760
0104301049,36
0104301055,43
0104301057,13
0104301059,6
0104301071,6
0104301073,2851
0104301077,38
0104301079,187
0104301081,3
0104301083,138
0104301089,1113
0104301091,14
0104301093,19
0104301095,1203
0104301101,49
0104301103,2239
0104301115,9
0104301117,219
0104301121,22
0104301123,5
0104301125,30
0104301127,198
0104301133,428
0104305119,9
0104306067,5
0104308117,8
0104312033,11
0104312101,13
0104312111,4
0104313031,13
0104313087,7
0104313089,11
0104313121,18
0104313135,2
0104317031,20
0104318163,3
0104321067,7
0104321235,4
0104322071,14
0104322103,10
0104325023,1
0104326111,19
0104327037,8
0104327085,6
0104328003,12
0104328019,11
0104328047,8
0104328049,10
0104328121,9
0104336079,7
0104337007,1
0104337191,37
0104340143,22
0104345015,10
0104347037,6
0104347065,14
0104347093,1
0104347109,2
0104347149,7
0104347157,19
0104348113,5
0104348201,8
0104348209,7
0104355059,12
0104501001,5
0104501003,15
0104501005,172
0104501021,3
0104501023,1
0104501025,4
0104501031,1547
0104501033,14
0104501039,17
0104501041,3
0104501045,13724
0104501049,3
0104501053,4
0104501061,108
0104501067,359
0104501069,4547
0104501073,2
0104501081,4
0104501097,3
0104501101,49
0104501109,246
0104501115,9
0104501121,8
0104501123,5
0104501125,5
0104504013,7
0104505063,2
0104506037,3
0104506071,8
0104509011,1
0104510001,7
0104512005,13
0104512033,5
0104512057,10
0104512063,34
0104512083,4
0104512086,1
0104512107,7
0104512133,5
0104513053,2
0104513061,6
0104513063,10
0104513067,6
0104513089,11
0104513095,20
0104513099,4
0104513121,6
0104513135,2
0104513179,2
0104513201,1
0104513215,6
0104513243,9
0104513245,2
0104513253,9
0104513273,5
0104520177,10
0104521047,15
0104521093,7
0104522017,2
0104522033,2
0104522051,4
0104522113,6
0104525017,13
0104528049,2
0104528121,6
0104528143,2
0104529169,4
0104532003,6
0104536001,11
0104537051,20
0104537101,2
0104540031,2
0104540143,2
0104542003,2
0104545041,7
0104545079,6
0104548027,8
0104548457,20
0104551059,10
0104551149,9
0104551700,8
0104551775,4
0104701001,179
0104701007,20
0104701013,3
0104701015,43
0104701021,180
0104701025,27
0104701045,21
0104701047,12932
0104701051,32
0104701057,6
0104701063,16
0104701065,25
0104701069,9
0104701073,63
0104701083,5
0104701085,189
0104701091,35
0104701097,18
0104701101,679
0104701105,117
0104701109,9
0104701111,6
0104701113,23
0104701117,14
0104701121,7
0104701125,16
0104701129,8
0104701131,122
0104706017,10
0104712086,9
0104713031,23
0104713053,10
0104713135,11
0104713151,14
0104713301,9
0104718165,6
0104720061,6
0104722033,31
0104724003,13
0104724033,13
0104728019,6
0104728021,6
0104728105,22
0104737119,4
0104748257,6
0104901003,8
0104901009,9
0104901013,6
0104901015,92
0104901017,5
0104901019,198
0104901021,4
0104901039,5
0104901043,18
0104901049,21446
0104901055,409
0104901069,4
0104901071,1203
0104901073,88
0104901081,12
0104901083,7
0104901089,127
0104901093,5
0104901095,2730
0104901097,4
0104901101,17
0104901103,8
0104901115,12
0104901117,17
0104901125,6
0104901127,8
0104905143,7
0104912015,2
0104912071,1
0104912086,7
0104912091,2
0104912103,6
0104912127,8
0104913015,28
0104913021,12
0104913045,3
0104913047,23
0104913055,113
0104913057,7
0104913067,18
0104913083,364
0104913097,7
0104913111,2
0104913115,58
0104913121,32
0104913129,5
0104913135,2
0104913255,1
0104913261,7
0104913295,90
0104913313,19
0104917031,2
0104918097,3
0104921093,2
0104922017,1
0104922071,14
0104928059,14
0104928097,6
0104928133,4
0104934005,5
0104936055,3
0104937119,9
0104938017,2
0104939017,6
0104941005,2
0104942085,7
0104945045,7
0104945079,6
0104947011,12
0104947031,4
0104947037,38
0104947043,2
0104947047,2
0104947065,1114
0104947071,2
0104947089,4
0104947115,56
0104947119,3
0104947149,9
0104947157,3
0104947187,5
0104948041,4
0104951037,6
0105101001,1477
0105101005,1
0105101009,14
0105101011,21
0105101013,40
0105101015,15
0105101017,24
0105101021,143
0105101023,4
0105101037,47
0105101041,7
0105101045,5
0105101047,87
0105101051,9415
0105101055,21
0105101063,8
0105101065,9
0105101069,23
0105101073,130
0105101081,170
0105101083,10
0105101085,75
0105101087,124
0105101097,13
0105101099,15
0105101101,15246
0105101109,10
0105101111,6
0105101117,43
0105101121,45
0105101123,582
0105101125,18
0105106025,8
0105106059,11
0105108059,3
0105112005,19
0105112095,3
0105113039,2
0105113067,7
0105113117,2
0105113121,27
0105113215,19
0105113275,8
0105113297,6
0105113313,2
0105116029,13
0105117089,15
0105122115,7
0105124003,11
0105128121,4
0105128149,2
0105134017,10
0105137119,13
0105145015,4
0105147065,7
0105147119,10
0105147157,6
0105148029,9
0105148201,17
0105148485,7
0105301003,752
0105301005,5
0105301013,13
0105301017,5
0105301025,30
0105301035,369
0105301039,83
0105301045,6
0105301051,8
0105301053,11168
0105301055,8
0105301061,5
0105301069,7
0105301077,4
0105301091,6
0105301097,250
0105301099,246
0105301101,37
0105301109,5
0105301119,18
0105301125,8
0105301131,13
0105301133,16
0105312005,5
0105312011,9
0105312021,6
0105312031,6
0105312033,713
0105312091,29
0105312093,5
0105312095,2
0105312103,11
0105312105,10
0105312113,192
0105312131,4
0105313051,5
0105313073,11
0105313121,26
0105313245,3
0105318091,5
0105322045,9
0105322051,24
0105322055,9
0105322071,6
0105322075,16
0105322095,8
0105322101,4
0105322109,7
0105328031,4
0105328039,2
0105328047,9
0105328059,21
0105328121,12
0105336061,5
0105340143,2
0105342003,4
0105342049,3
0105345063,2
0105347037,1
0105347071,6
0105348157,7
0105348201,18
0105348439,10
0105355021,12
0105501003,4
0105501009,409
0105501015,1414
0105501019,376
0105501027,23
0105501029,23
0105501033,2
0105501039,8
0105501043,96
0105501049,678
0105501055,32181
0105501071,42
0105501073,1658
0105501077,50
0105501079,4
0105501081,7
0105501083,13
0105501089,61
0105501095,4091
0105501097,8
0105501101,48
0105501103,7
0105501115,508
0105501117,146
0105501119,7
0105501121,82
0105501125,28
0105501127,7
0105506037,7
0105508031,4
0105512005,12
0105512011,8
0105512033,29
0105512057,28
0105512091,9
0105512099,5
0105512115,12
0105513015,3
0105513045,24
0105513067,24
0105513079,6
0105513083,17
0105513089,14
0105513097,8
0105513115,67
0105513121,32
0105513151,6
0105513223,9
0105513233,26
0105517119,5
0105518039,12
0105518057,6
0105521145,4
0105521209,7
0105522033,13
0105528047,9
0105529189,7
0105536059,2
0105536087,19
0105537021,22
0105537161,8
0105539027,6
0105539061,11
0105539113,6
0105539129,6
0105545027,7
0105547037,8
0105547065,25
0105547071,2
0105547093,5
0105547131,28
0105547157,15
0105547165,2
0105547187,12
0105548097,14
0105548113,7
0105548201,17
0105549035,5
0105551041,4
0105555053,3
0105701009,7
0105701043,30
0105701049,23
0105701057,4350
0105701059,6
0105701065,17
0105701073,72
0105701075,296
0105701079,6
0105701093,1103
0105701095,9
0105701107,29
0105701119,7
0105701121,5
0105701125,887
0105701127,255
0105701133,79
0105717179,4
0105722033,4
0105728049,4
0105728051,2
0105728057,1
0105728081,6
0105728087,63
0105728095,7
0105739035,5
0105745019,2
0105745041,8
0105747149,5
0105749035,2
0105901001,7
0105901005,8
0105901033,1351
0105901043,12
0105901059,8355
0105901065,2
0105901073,21
0105901077,602
0105901079,167
0105901083,14
0105901085,2
0105901089,63
0105901093,585
0105901095,10
0105901101,13
0105901103,183
0105901117,7
0105901123,6
0105901125,5
0105901127,32
0105901133,589
0105913089,6
0105921111,4
0105922073,6
0105926017,2
0105928019,6
0105928033,3
0105928049,5
0105928057,77
0105928081,150
0105928087,25
0105928115,5
0105928117,5
0105928141,436
0105933013,3
0105947023,21
0105947071,21
0105947157,16
0105948367,10
0106101003,1
0106101005,18
0106101013,9
0106101031,898
0106101039,170
0106101045,677
0106101055,1
0106101061,5372
0106101067,58
0106101069,2720
0106101081,7
0106101097,24
0106101101,33
0106101109,22
0106101117,4
0106101129,10
0106108031,10
0106112005,41
0106112033,2
0106112057,5
0106112059,73
0106112063,59
0106112069,20
