res,work,total,male,female
5937017,5937024,95,50,40
2437035,2437065,40,25,20
2437030,2451015,20,15,0
2433025,2433025,100,50,50
5903017,5903017,25,20,0
6107095,6107095,125,55,70
6208059,6208059,280,125,155
2498808,2498808,70,25,50
1211008,1211012,110,65,45
1211009,1307022,35,30,0
4712032,4712032,40,15,30
4711072,4711069,55,45,0
1211002,1211011,40,20,20
4716022,4716022,55,20,35
2498802,2498802,45,15,30
1211001,1211012,20,10,15
1211006,1211014,20,20,0
2487020,2487090,75,50,25
2498806,2498806,120,55,70
2480125,2480125,30,20,10
5953048,5953048,60,40,15
4623058,4623058,85,40,50
4620043,4620048,30,10,15
4620041,4620048,750,280,475
4806803,4806803,80,45,30
4806804,4806804,200,95,110
4620048,4620048,1260,570,690
4817829,4817829,60,25,35
4817828,4817828,75,35,40
2468035,2468030,240,120,120
3559090,3559090,65,30,40
2468030,2468030,535,255,275
4817821,4817031,25,15,10
4602069,4612047,145,45,100
4707001,4707039,105,45,60
2494020,2494050,20,15,10
4716051,4716072,55,30,30
4707004,4707039,20,10,15
2480015,2480037,30,15,20
3542005,3543007,90,50,40
3542004,3543007,55,55,0
2480010,2480037,30,0,25
2495032,2496020,20,20,0
4806036,4809002,25,15,10
2491005,2493040,25,25,10
2478060,2478102,45,15,30
4702044,4702047,250,100,150
2485045,2485090,25,15,10
2478065,2478102,155,65,90
2410065,2410070,20,15,10
4817856,4817856,85,40,40
2410060,2410060,30,10,20
5945801,5945801,335,140,195
4702047,4706027,25,15,15
4709046,4709072,30,10,20
3557019,3557061,55,50,0
5915055,5931020,60,20,40
3557011,3557061,235,125,115
3557014,3557061,105,75,35
3557016,3557061,45,25,20
1103026,1103029,105,25,80
1103027,1103027,65,25,40
1103024,1103025,225,95,135
1103025,1103033,25,10,15
2453085,2453052,20,15,10
1103023,1103025,85,35,50
1103028,1103029,30,15,15
1103029,1103029,40,30,10
2478115,2490030,20,10,10
4715002,4715002,75,50,20
4715003,4715003,25,15,0
4715004,4715008,55,10,50
4715005,4715005,80,45,45
4715006,4715006,50,30,20
4715007,4715008,230,100,130
4715008,4715048,20,15,10
2489804,2489804,185,80,105
2489802,2489802,25,10,20
5925804,5925804,45,20,25
2488802,2488802,85,25,50
5925024,5925804,25,15,10
3549022,3549022,170,55,115
4711026,4711026,80,30,50
4711027,4711066,30,15,15
2434085,2434078,30,20,15
3507008,3507015,300,155,150
3507006,3510010,20,15,10
4718803,4718803,185,70,115
2431065,2431087,40,0,30
4603042,4603050,150,95,55
4711028,4711027,30,10,25
2431060,2431060,70,35,40
4813018,4817024,30,25,0
5933039,5933817,25,25,0
5931838,5931838,80,25,50
4714056,4714076,30,15,20
5933853,5933015,25,20,10
4802004,4802004,200,110,90
4703022,4703022,40,15,20
5939011,5939011,160,80,75
4703029,4703036,30,15,15
4703028,4703028,60,25,30
4603047,4603053,415,215,200
5939019,5939019,2825,1380,1450
1302001,1302001,40,30,10
1302004,1302004,220,75,145
1302006,1302006,190,115,75
1302008,1302037,30,0,20
4714053,4714056,25,25,0
1004042,1004019,60,30,25
2414018,2414085,105,50,60
4708068,4713008,45,25,15
2405032,2466025,20,25,0
5953007,5953007,405,185,220
1313022,1313027,490,260,230
3523008,3539036,65,40,20
1313024,1313027,585,295,290
1313027,1313042,20,10,15
4813011,4811061,25,15,15
4708061,4708058,25,10,15
4708062,4708062,85,45,35
4802019,4806016,25,20,10
3523001,3530035,30,15,15
4613049,4613047,30,25,0
2409010,2409090,20,10,15
2401025,2401040,50,40,0
4613043,4618034,35,10,25
2401020,2401030,20,15,10
4613047,4614039,25,15,10
3558076,3558076,50,20,25
2417025,2417030,20,10,15
3558075,3558075,2105,1030,1075
2417020,2417020,20,15,10
2441065,2443025,115,60,50
2483095,2483095,160,85,70
2413055,2413055,35,25,10
2441060,2443025,170,70,100
2413050,2413050,30,10,20
2483090,2483065,115,75,40
3549048,3549054,45,10,30
3558054,3558075,30,25,0
2462025,2466025,70,60,15
4601078,4601071,35,20,20
3558051,3558054,220,135,85
2448050,2454045,25,0,25
2462020,2466025,25,25,10
2419025,2426030,20,25,0
2461005,2466025,145,95,45
4601071,4619050,35,15,20
2466055,3520005,20,10,10
3558059,3558090,240,215,35
2419020,2428050,70,25,50
3549046,3549054,70,30,40
1001328,1001335,20,10,10
2431115,2432013,30,0,30
4705028,4705031,35,20,15
3553005,3557096,30,20,0
2449057,2466075,20,15,10
2431110,2431115,20,10,15
1001321,1001343,25,10,15
2486080,2486080,25,15,10
2487050,2487050,25,20,0
2418005,2418005,190,165,25
6001022,6001022,140,75,65
4811059,4816037,70,70,0
2454072,2466025,45,40,10
