uid,region,name,population,latitude,longitude
M10001,Mexico,Canatlan,31291,24.5279,-104.77881
M10002,Mexico,Canelas,4298,25.12204,-106.54553
M10003,Mexico,Coneto de Comonfort,4554,24.98038,-104.76909
M10004,Mexico,Cuencame,32805,24.87039,-103.69628
M10005,Mexico,Durango,491436,24.02403,-104.6702
M10006,Mexico,General Simon Bolivar,10644,24.69123,-103.22822
M10007,Mexico,Gomez Palacio,273315,25.56147,-103.49878
M10008,Mexico,Guadalupe Victoria,32011,24.44651,-104.12268
M10009,Mexico,Guanacevi,10794,25.93201,-105.95413
M10010,Mexico,Hidalgo,4619,26.25144,-104.91327
M10011,Mexico,Inde,6011,25.91173,-105.22466
M10012,Mexico,Lerdo,112435,25.53647,-103.52489
M10013,Mexico,Mapimi,22367,25.83341,-103.84824
M10014,Mexico,Mezquital,27512,23.4735,-104.39603
M10015,Mexico,Nazas,12467,25.22787,-104.11436
M10016,Mexico,Nombre de Dios,18039,23.84404,-104.24129
M10017,Mexico,Ocampo,10156,26.44171,-105.50772
M10018,Mexico,El Oro,12247,25.94978,-105.36494
M10019,Mexico,Otaez,5093,24.69845,-105.99384
M10020,Mexico,Panuco de Coronado,12853,24.40097,-104.31936
M10021,Mexico,Peñon Blanco,10490,24.79122,-104.03379
M10022,Mexico,Poanas,24331,23.97514,-104.0449
M10023,Mexico,Pueblo Nuevo,45217,23.77876,-105.36077
M10024,Mexico,Rodeo,12497,25.18038,-104.55686
M10025,Mexico,San Bernardo,4147,25.99867,-105.52857
M10026,Mexico,San Dimas,21907,24.10319,-105.93134
M10027,Mexico,San Juan de Guadalupe,6548,24.63151,-102.78293
M10028,Mexico,San Juan del Rio,12290,24.77789,-104.45964
M10029,Mexico,San Luis del Cordero,2070,25.41843,-104.2788
M10030,Mexico,San Pedro del Gallo,1876,25.56675,-104.29325
M10031,Mexico,Santa Clara,6969,24.47569,-103.35767
M10032,Mexico,Santiago Papasquiaro,43517,25.04427,-105.41966
M10033,Mexico,Suchil,7331,23.62211,-103.92102
M10034,Mexico,Tamazula,27144,24.97037,-106.9661
M10035,Mexico,Tepehuanes,12937,25.3437,-105.72357
M10036,Mexico,Tlahualilo,19918,26.1109,-103.43851
M10037,Mexico,Topia,8727,25.20926,-106.5722
M10038,Mexico,Vicente Guerrero,19813,23.73154,-103.98823
M10039,Mexico,Nuevo Ideal,25985,24.88844,-105.07438
M11001,Mexico,Abasolo,79093,20.45058,-101.52955
M11002,Mexico,Acambaro,110718,20.03198,-100.72203
M11003,Mexico,Allende,134880,20.91473,-100.74453
M11004,Mexico,Apaseo el Alto,56817,20.45502,-100.6223
M11005,Mexico,Apaseo el Grande,68738,20.5464,-100.6873
M11006,Mexico,Atarjea,5198,21.26722,-99.71895
M11007,Mexico,Celaya,382958,20.52835,-100.81564
M11008,Mexico,Manuel Doblado,38309,20.72778,-101.94983
M11009,Mexico,Comonfort,67642,20.71446,-100.75731
M11010,Mexico,Coroneo,10347,20.19809,-100.36507
M11011,Mexico,Cortazar,81359,20.48225,-100.96175
M11012,Mexico,Cueramaro,25610,20.62529,-101.67456
M11013,Mexico,Doctor Mora,19943,21.14194,-100.3198
M11014,Mexico,Dolores Hidalgo,128994,21.15555,-100.93314
M11015,Mexico,Guanajuato,141196,21.01722,-101.25732
M11016,Mexico,Huanimaro,19693,20.36697,-101.4976
M11017,Mexico,Irapuato,440134,20.67363,-101.34816
M11018,Mexico,Jaral del Progreso,31803,20.3728,-101.06704
M11019,Mexico,Jerecuaro,55311,20.14892,-100.51007
M11020,Mexico,Leon,1134842,21.11916,-101.68122
M11021,Mexico,Moroleon,47132,20.1292,-101.19065
M11022,Mexico,Ocampo,20984,21.64692,-101.48039
M11023,Mexico,Penjamo,144426,20.43058,-101.72289
M11024,Mexico,Pueblo Nuevo,10398,20.5264,-101.37399
M11025,Mexico,Purisima del Rincon,44778,21.02999,-101.87983
M11026,Mexico,Romita,51825,20.86973,-101.51732
M11027,Mexico,Salamanca,226654,20.56974,-101.19787
M11028,Mexico,Salvatierra,94558,20.21448,-100.87869
M11029,Mexico,San Diego de la Union,34088,21.46497,-100.87259
M11030,Mexico,San Felipe,95359,21.48025,-101.21427
M11031,Mexico,San Francisco del Rincon,100239,21.01777,-101.85845
M11032,Mexico,San Jose Iturbide,54661,20.99833,-100.38785
M11033,Mexico,San Luis de la Paz,96729,21.29804,-100.51703
M11034,Mexico,Santa Catarina,4533,21.13944,-100.06867
M11035,Mexico,Santa Cruz de Juventino Rosas,65479,20.64279,-100.99565
M11036,Mexico,Santiago Maravatio,7151,20.17281,-100.99175
M11037,Mexico,Silao,134337,20.94305,-101.42732
M11038,Mexico,Tarandacuao,11583,20.00254,-100.51924
M11039,Mexico,Tarimoro,37418,20.28808,-100.75869
